€	euro
$	dollaro
£	lira
₩	won
rs	rupia
fr	franco
kr	corona
fim	marco finlandese
mk	marco
¥	yen
hkd	dollaro di Hong Kong
ESP	peseta
₧	peseta
Ptas	peseta
