.	punto
-	trattino
_	trattino basso
!	punto esclamativo
#	cancelletto
$	dollaro
%	percento
&	e commerciale
'	apostrofo
*	asterisco
+	più
/	slash
=	uguale
?	punto interrogativo
{	aperta graffa
}	chiusa graffa
~	tilde
,	virgola
;	punto e virgola
:	due punti
0	zero
1	uno
2	due
3	tre
4	quattro
5	cinque
6	sei 
7	sette
8	otto
9	nove
