.com	punto com
.org	punto org
.gov	punto gov
.uk	punto UK
.fr	punto FR
.net	punto net
.br	punto BR
.in	punto IN
.ru	punto RU
.de	punto DE
.it	punto IT
.jpg	punto jpeg
