A	a
B	bi
C	ci
D	di
E	e
F	effe
G	gi
H	acca
I	i
J	gei
K	kappa
L	elle
M	emme
N	enne
O	o
P	pi
Q	cu
R	erre
S	esse
T	ti
U	u
V	vi
W	vu doppia
X	ix
Y	ipsilon
Z	zeta
