cm	centimetro
g	grammo
h	ora
kg	chilogrammo
km	chilometro
km²	chilometro quadro
l	litro
m	metro
m²	metro quadro
m³	metro cubo
mph	miglio orario
ml	millilitro
mm	millimetro
ms	millisecondo
min	minuto
%	percento
s	secondo
