centesimo	cento
duecentesimo	duecento
trecentesimo	trecento
quattrocentesimo	quattrocento
cinquecentesimo	cinquecento
seicentesimo	seicento
settecentesimo	settecento
ottocentesimo	ottocento
novecentesimo	novecento
