decimo	dieci
undicesimo	undici
dodicesimo	dodici
tredicesimo	tredici
quattordicesimo	quattordici
quindicesimo	quindici
sedicesimo	sedici
diciassettesimo	diciassette
diciottesimo	diciotto
diciannovesimo	diciannove
