ventunesimo	veintuno
ventiduesimo	ventidue
ventitreesimo	ventitrè
ventiquattresimo	ventiquattro
venticinquesimo	venticinque
ventiseiesimo	ventisei
ventisettesimo	ventisette
ventottesimo	ventotto
ventinovesimo	ventinove
